state_fn,state,divorced,depress
Alabama,AL,12.5,21.3
Alaska,AK,11.8,15.6
Arizona,AZ,12.3,18.7
Arkansas,AR,12.9,21.5
California,CA,9.6,13.3
Colorado,CO,12.2,17
Connecticut,CT,11.1,18.3
Delaware,DE,12.2,18.3
District of Columbia,DC,9,18.1
Florida,FL,13,16.2
Georgia,GA,11.3,18.3
Hawaii,HI,9.6,10.7
Idaho,ID,11.8,19.5
Illinois,IL,10,16.7
Indiana,IN,12.9,20.7
Iowa,IA,10.6,18.7
Kansas,KS,11.6,18.6
Kentucky,KY,13.1,23.9
Louisiana,LA,12,18.7
Maine,ME,14.6,23.7
Maryland,MD,10,15.9
Massachusetts,MA,9.5,21.7
Michigan,MI,11.8,20.5
Minnesota,MN,10.2,18.2
Mississippi,MS,12.1,19.9
Missouri,MO,12.4,21.7
Montana,MT,12.7,20.4
Nebraska,NE,10.7,17.7
Nevada,NV,14.2,15.6
New Hampshire,NH,12.2,21
New Jersey,NJ,8.5,13.4
New Mexico,NM,12.3,21.1
New York,NY,8.7,15.9
North Carolina,NC,10.9,19
North Dakota,ND,9.4,17.3
Ohio,OH,12.3,20.9
Oklahoma,OK,13.3,21.8
Oregon,OR,13.5,24
Pennsylvania,PA,9.6,19.7
Rhode Island,RI,11.4,20.6
South Carolina,SC,11.1,19.9
South Dakota,SD,10.4,16.6
Tennessee,TN,12.6,21.4
Texas,TX,10.9,14.6
Utah,UT,9.1,20.7
Vermont,VT,12.3,21.8
Virginia,VA,10.1,17.4
Washington,WA,12,21.6
West Virginia,WV,13.3,23.6
Wisconsin,WI,11,17
Wyoming,WY,14,19
Puerto Rico,PR,13.9,18.5